%time,field.time_val,field.id_val,field.position_val,field.speed_val,field.voltage_val,field.current_val
1680087046062906596,1701978,1,2081,0,74,0
1680087046070666387,1701981,2,3121,0,73,0
1680087046071827554,1701983,3,3034,0,73,0
1680087046080433262,1701985,4,2096,0,73,0
1680087046081542346,1701988,5,1347,0,74,0
1680087046082720471,1701990,6,3763,0,74,0
1680087046083802054,1701992,7,2620,0,73,0
1680087046084898262,1701994,8,2999,0,72,0
1680087046090443721,1701996,9,3210,0,73,0
1680087046091543929,1701998,10,3122,0,73,0
1680087046092671137,1702000,11,1010,0,73,0
1680087046093788596,1702002,12,1591,0,73,0
1680087046094915762,1702004,13,1876,0,72,0
1680087046100258512,1702006,14,2885,0,73,0
1680087046101281387,1702008,15,1227,0,74,0
1680087046102391637,1702010,16,1111,0,73,0
1680087046115511679,1702030,1,2081,0,74,0
1680087046120986679,1702033,2,3121,0,73,0
1680087046122073637,1702035,3,3035,0,73,0
1680087046130870387,1702037,4,2096,0,73,0
1680087046131985721,1702039,5,1347,0,74,0
1680087046133086012,1702041,6,3763,0,74,0
1680087046134181221,1702043,7,2620,0,73,0
1680087046135291887,1702045,8,2999,0,72,0
1680087046140731012,1702047,9,3210,0,72,0
1680087046141879304,1702049,10,3121,0,73,0
1680087046143002721,1702051,11,1010,0,73,0
1680087046144128096,1702053,12,1591,0,73,0
1680087046145315096,1702055,13,1876,0,72,0
1680087046150924054,1702057,14,2885,0,73,0
1680087046152136971,1702059,15,1227,0,73,0
1680087046153359262,1702061,16,1111,0,72,0
1680087046166413929,1702081,1,2081,0,74,0
1680087046171958471,1702084,2,3121,0,73,0
1680087046173047221,1702086,3,3034,0,73,0
1680087046182191096,1702088,4,2096,0,73,0
1680087046183298762,1702091,5,1347,0,74,0
1680087046184420137,1702092,6,3763,0,73,0
1680087046185574846,1702094,7,2620,0,73,0
1680087046186685762,1702096,8,2999,0,72,0
1680087046192202346,1702098,9,3210,0,72,0
1680087046193352846,1702100,10,3122,0,72,0
1680087046194449262,1702102,11,1010,0,73,0
1680087046195547221,1702104,12,1591,0,72,0
1680087046196668762,1702106,13,1876,0,72,0
1680087046202169929,1702108,14,2885,0,73,0
1680087046203284804,1702111,15,1228,0,74,0
1680087046204440012,1702113,16,1111,0,72,0
1680087046217692304,1702132,1,2081,0,74,0
1680087046224236429,1702135,2,3121,0,73,0
1680087046225333971,1702137,3,3035,0,73,0
1680087046235144346,1702139,4,2096,0,73,0
1680087046236307054,1702142,5,1347,0,74,0
1680087046237394679,1702144,6,3763,0,74,0
1680087046238640679,1702146,7,2620,0,73,0
1680087046239747137,1702148,8,2999,0,72,0
1680087046244149554,1702150,9,3210,0,73,0
1680087046245173179,1702153,10,3122,0,73,0
1680087046246409762,1702155,11,1010,0,73,0
1680087046247535596,1702157,12,1591,0,73,0
1680087046248692429,1702159,13,1876,0,72,0
1680087046254479929,1702161,14,2886,0,73,0
1680087046255613304,1702163,15,1228,0,74,0
1680087046256790637,1702165,16,1111,0,72,0
1680087046269804346,1702184,1,2081,0,74,0
1680087046275547137,1702187,2,3121,0,73,0
1680087046276643512,1702189,3,3034,0,73,0
1680087046285437554,1702191,4,2096,0,73,0
1680087046286534512,1702194,5,1347,0,74,0
1680087046287652637,1702196,6,3763,0,73,0
1680087046288794637,1702197,7,2620,0,73,0
1680087046289908346,1702199,8,2999,0,72,0
1680087046295374679,1702201,9,3210,0,73,0
1680087046296469596,1702204,10,3121,0,73,0
1680087046297592179,1702205,11,1010,0,73,0
1680087046298717637,1702207,12,1591,0,73,0
1680087046299903762,1702209,13,1876,0,72,0
1680087046305630804,1702211,14,2885,0,72,0
1680087046306716554,1702214,15,1228,0,74,0
1680087046307836096,1702216,16,1111,0,72,0
1680087046320967471,1702236,1,2081,0,74,0
1680087046325356554,1702238,2,3121,0,73,0
1680087046326514471,1702240,3,3035,0,73,0
1680087046336380929,1702243,4,2096,0,73,0
1680087046337482471,1702245,5,1347,0,74,0
1680087046338743762,1702247,6,3763,0,74,0
1680087046339977971,1702249,7,2620,0,73,0
1680087046341300137,1702250,8,2999,0,72,0
1680087046345587929,1702252,9,3210,0,72,0
1680087046346724471,1702255,10,3122,0,73,0
1680087046347843262,1702257,11,1010,0,73,0
1680087046348965554,1702259,12,1591,0,72,0
1680087046350803137,1702260,13,1876,0,72,0
1680087046356218804,1702262,14,2886,0,73,0
1680087046357338304,1702265,15,1227,0,74,0
1680087046358453512,1702266,16,1111,0,72,0
1680087046372156887,1702286,1,2081,0,74,0
1680087046376511471,1702289,2,3121,0,73,0
1680087046379815137,1702291,3,3035,0,73,0
1680087046380918846,1702294,4,2096,0,73,0
1680087046387470054,1702296,5,1347,0,73,0
1680087046388577596,1702299,6,3763,0,74,0
1680087046389673721,1702300,7,2620,0,73,0
1680087046397427804,1702302,8,2999,0,72,0
1680087046398520304,1702305,9,3210,0,72,0
1680087046399644554,1702307,10,3121,0,73,0
1680087046400736054,1702309,11,1010,0,73,0
1680087046402049762,1702311,12,1591,0,72,0
1680087046407539054,1702313,13,1876,0,72,0
1680087046408650554,1702316,14,2885,0,73,0
1680087046409764887,1702317,15,1227,0,74,0
1680087046411070387,1702319,16,1111,0,72,0
1680087046425187762,1702340,1,2081,0,74,0
1680087046429538971,1702343,2,3121,0,73,0
1680087046437391846,1702345,3,3035,0,73,0
1680087046438473346,1702348,4,2096,0,73,0
1680087046439596262,1702350,5,1347,0,74,0
1680087046440710637,1702352,6,3763,0,73,0
1680087046448473596,1702354,7,2620,0,73,0
1680087046449581971,1702356,8,2999,0,72,0
1680087046450813179,1702358,9,3210,0,72,0
1680087046451977387,1702360,10,3121,0,72,0
1680087046453149012,1702362,11,1010,0,73,0
1680087046458625221,1702364,12,1591,0,73,0
1680087046459748471,1702366,13,1876,0,72,0
1680087046460890679,1702368,14,2886,0,73,0
1680087046462235346,1702370,15,1227,0,74,0
1680087046463312637,1702372,16,1111,0,72,0
1680087046476745262,1702391,1,2081,0,74,0
1680087046479904846,1702394,2,3121,0,73,0
1680087046489963679,1702396,3,3035,0,73,0
1680087046491249679,1702399,4,2096,0,73,0
1680087046492365971,1702401,5,1347,0,74,0
1680087046493438262,1702403,6,3763,0,73,0
1680087046498888887,1702405,7,2620,0,73,0
1680087046499993887,1702408,8,2999,0,72,0
1680087046501088429,1702410,9,3210,0,73,0
1680087046502240971,1702412,10,3121,0,72,0
1680087046503373262,1702414,11,1010,0,73,0
1680087046509969304,1702416,12,1591,0,73,0
1680087046511060596,1702418,13,1876,0,72,0
1680087046512235304,1702420,14,2885,0,73,0
1680087046513336596,1702422,15,1227,0,74,0
1680087046514490304,1702424,16,1111,0,72,0
1680087046528656096,1702443,1,2081,0,74,0
1680087046533156221,1702446,2,3121,0,73,0
1680087046541977929,1702448,3,3035,0,73,0
1680087046543099429,1702451,4,2096,0,73,0
1680087046544235721,1702453,5,1347,0,73,0
1680087046545334512,1702455,6,3763,0,74,0
1680087046551976221,1702457,7,2620,0,73,0
1680087046553291762,1702460,8,2999,0,72,0
1680087046554465804,1702461,9,3211,0,72,0
1680087046555566887,1702463,10,3121,0,73,0
1680087046556677262,1702465,11,1010,0,73,0
1680087046562128596,1702467,12,1591,0,73,0
1680087046563295762,1702470,13,1876,0,72,0
1680087046564359971,1702472,14,2885,0,73,0
1680087046565569596,1702474,15,1227,0,74,0
1680087046566685679,1702476,16,1111,0,72,0
1680087046580856346,1702495,1,2081,0,74,0
1680087046585281346,1702498,2,3121,0,73,0
1680087046591958554,1702500,3,3034,0,73,0
1680087046593081054,1702503,4,2096,0,73,0
1680087046594215512,1702505,5,1346,0,74,0
1680087046601864554,1702507,6,3763,0,74,0
1680087046602939346,1702510,7,2620,0,73,0
1680087046604032262,1702512,8,2999,0,72,0
1680087046605213804,1702514,9,3210,0,73,0
1680087046606667971,1702516,10,3122,0,73,0
1680087046612162471,1702518,11,1010,0,73,0
1680087046613310221,1702520,12,1591,0,73,0
1680087046614420679,1702522,13,1876,0,72,0
1680087046615555762,1702524,14,2885,0,73,0
1680087046616677512,1702526,15,1227,0,73,0
1680087046622314304,1702528,16,1111,0,72,0
1680087046633170221,1702548,1,2081,0,74,0
1680087046642970596,1702551,2,3121,0,73,0
1680087046644102054,1702553,3,3035,0,73,0
1680087046645205137,1702555,4,2096,0,73,0
1680087046646456137,1702557,5,1347,0,74,0
1680087046653071387,1702559,6,3763,0,74,0
1680087046654189137,1702561,7,2620,0,73,0
1680087046655312012,1702563,8,2999,0,72,0
1680087046656406012,1702565,9,3210,0,73,0
1680087046657504804,1702567,10,3121,0,73,0
1680087046662955679,1702569,11,1010,0,73,0
1680087046664064929,1702572,12,1591,0,73,0
1680087046665190804,1702574,13,1876,0,72,0
1680087046666299887,1702576,14,2885,0,73,0
1680087046667405971,1702578,15,1227,0,73,0
1680087046674092762,1702579,16,1111,0,72,0
1680087046683921304,1702599,1,2081,0,74,0
1680087046695783971,1702602,2,3121,0,73,0
1680087046696892554,1702604,3,3035,0,73,0
1680087046698019304,1702606,4,2096,0,73,0
1680087046699140762,1702608,5,1347,0,74,0
1680087046700372846,1702610,6,3763,0,74,0
1680087046705756637,1702612,7,2620,0,73,0
1680087046706901137,1702614,8,2999,0,72,0
1680087046707986429,1702616,9,3210,0,72,0
1680087046709112471,1702618,10,3121,0,73,0
1680087046710260346,1702620,11,1010,0,73,0
1680087046715785929,1702622,12,1591,0,73,0
1680087046716858346,1702624,13,1876,0,72,0
1680087046717960679,1702626,14,2886,0,73,0
1680087046719088804,1702628,15,1228,0,74,0
1680087046720249512,1702630,16,1111,0,72,0
1680087046734348054,1702649,1,2081,0,74,0
1680087046738676846,1702652,2,3121,0,73,0
1680087046746498013,1702654,3,3035,0,73,0
1680087046747582429,1702657,4,2096,0,73,0
1680087046748694263,1702659,5,1347,0,74,0
1680087046749809179,1702661,6,3763,0,74,0
1680087046751032304,1702663,7,2620,0,73,0
1680087046752191471,1702665,8,2999,0,72,0
1680087046757546346,1702667,9,3210,0,72,0
1680087046758682179,1702669,10,3121,0,73,0
1680087046759751138,1702671,11,1010,0,73,0
1680087046766358138,1702673,12,1591,0,72,0
1680087046767462679,1702675,13,1876,0,72,0
1680087046768554763,1702677,14,2886,0,73,0
1680087046769722388,1702679,15,1227,0,73,0
1680087046770847304,1702681,16,1111,0,73,0
1680087046785985763,1702701,1,2081,0,74,0
1680087046797950263,1702704,2,3121,0,73,0
1680087046799115013,1702706,3,3034,0,73,0
1680087046800198888,1702708,4,2096,0,73,0
1680087046801298804,1702710,5,1347,0,74,0
1680087046802483846,1702712,6,3763,0,74,0
1680087046803597554,1702714,7,2619,0,73,0
1680087046804678596,1702716,8,2999,0,72,0
1680087046806981179,1702718,9,3210,0,72,0
1680087046808096471,1702720,10,3122,0,73,0
1680087046809207054,1702722,11,1010,0,73,0
1680087046817887513,1702724,12,1591,0,72,0
