%time,field.time_val,field.id_val,field.position_val,field.speed_val,field.voltage_val,field.current_val
1680086595630766172,1251532,5,1442,0,74,0
1680086595631798964,1251535,6,1539,0,74,0
1680086595632940547,1251537,7,2470,0,73,0
1680086595634136589,1251539,8,901,0,72,0
1680086595635227964,1251540,9,3396,0,73,0
1680086595640825297,1251542,10,968,0,73,0
1680086595641942422,1251545,11,883,0,73,0
1680086595643375672,1251547,12,4017,0,73,0
1680086595644435547,1251549,13,2033,0,72,0
1680086595645603256,1251550,14,1053,0,73,0
1680086595651102214,1251552,15,1049,0,74,0
1680086595652214672,1251555,16,3081,0,73,0
1680086595664165006,1251574,1,1947,0,74,0
1680086595671917631,1251577,2,777,0,73,0
1680086595672968714,1251579,3,3122,0,73,0
1680086595674097964,1251581,4,4065,0,73,0
1680086595681723547,1251583,5,1442,0,74,0
1680086595682926464,1251586,6,1538,0,74,0
1680086595683997089,1251588,7,2470,0,73,0
1680086595685273631,1251590,8,901,0,72,0
1680086595686358089,1251592,9,3396,0,73,0
1680086595692912297,1251594,10,968,0,73,0
1680086595694042131,1251596,11,883,0,73,0
1680086595695135256,1251598,12,4017,0,73,0
1680086595696222714,1251600,13,2034,0,72,0
1680086595697373506,1251602,14,1053,0,73,0
1680086595702234589,1251604,15,1049,0,74,0
1680086595703345172,1251607,16,3081,0,73,0
1680086595715282256,1251626,1,1947,0,74,0
1680086595725203756,1251629,2,777,0,73,0
1680086595726316672,1251631,3,3122,0,73,0
1680086595727392464,1251633,4,4065,0,73,0
1680086595728504214,1251635,5,1442,0,74,0
1680086595735321672,1251637,6,1538,0,74,0
1680086595736904547,1251639,7,2470,0,73,0
1680086595738027547,1251641,8,901,0,72,0
1680086595739136631,1251643,9,3396,0,73,0
1680086595740348297,1251645,10,968,0,73,0
1680086595745876172,1251647,11,883,0,73,0
1680086595746894006,1251650,12,4017,0,73,0
1680086595747996464,1251651,13,2033,0,72,0
1680086595749202339,1251653,14,1053,0,73,0
1680086595750192922,1251655,15,1049,0,74,0
1680086595755673797,1251657,16,3081,0,73,0
1680086595767021047,1251677,1,1947,0,74,0
1680086595776806797,1251680,2,777,0,73,0
1680086595777937797,1251682,3,3122,0,73,0
1680086595779097714,1251684,4,4065,0,73,0
1680086595780202839,1251686,5,1441,0,74,0
1680086595786750714,1251688,6,1538,0,74,0
1680086595787914422,1251691,7,2470,0,73,0
1680086595789180464,1251692,8,901,0,72,0
1680086595790330714,1251694,9,3397,0,73,0
1680086595791562547,1251696,10,968,0,73,0
1680086595793146631,1251698,11,883,0,73,0
1680086595794334839,1251701,12,4017,0,73,0
1680086595796667089,1251703,13,2033,0,72,0
1680086595797739006,1251705,14,1053,0,73,0
1680086595798889964,1251707,15,1049,0,74,0
1680086595817386422,1251709,16,3082,0,73,0
1680086595828833881,1251729,1,1947,0,74,0
1680086595830295381,1251732,2,777,0,73,0
1680086595831366922,1251734,3,3122,0,73,0
1680086595832413631,1251736,4,4065,0,73,0
1680086595833594006,1251738,5,1441,0,74,0
1680086595834919839,1251740,6,1538,0,74,0
1680086595836031048,1251743,7,2470,0,73,0
1680086595838234923,1251745,8,901,0,72,0
1680086595839346423,1251747,9,3396,0,73,0
1680086595840503464,1251749,10,968,0,73,0
1680086595848236423,1251751,11,883,0,73,0
1680086595849490214,1251753,12,4018,0,73,0
1680086595850993006,1251755,13,2033,0,72,0
1680086595851875631,1251757,14,1053,0,73,0
1680086595853026173,1251759,15,1049,0,74,0
1680086595858649923,1251761,16,3082,0,73,0
1680086595869489173,1251780,1,1947,0,74,0
1680086595878385048,1251783,2,777,0,73,0
1680086595879473756,1251785,3,3122,0,73,0
1680086595880614423,1251787,4,4065,0,73,0
