%time,field.time_val,field.id_val,field.position_val,field.speed_val,field.voltage_val,field.current_val
1677829973640280386,537847,12,2425,0,70,0
1677829973641397783,537849,13,4007,0,66,0
1677829973642473306,537851,14,1079,0,71,0
1677829973643713033,537852,15,3907,0,71,0
1677829973644739140,537854,16,1663,0,71,0
1677829973646992892,537867,1,1005,0,72,0
1677829973651328064,537870,2,3033,0,71,1
1677829973652460377,537872,3,471,0,71,0
1677829973653547691,537874,4,2723,0,71,0
1677829973654699046,537876,5,1448,0,72,0
1677829973655793318,537878,6,595,0,71,0
1677829973656923964,537880,7,1020,0,71,0
1677829973658037195,537882,8,3325,0,70,0
1677829973659183799,537884,9,2298,0,70,0
1677829973660313654,537886,10,4068,0,70,0
1677829973661418634,537888,11,411,0,71,0
1677829973662509073,537890,12,2425,0,70,0
1677829973663635761,537893,13,4007,0,70,0
1677829973664730575,537895,14,1079,0,70,0
1677829973665861763,537897,15,3907,0,71,0
1677829973710776629,537898,16,1663,0,71,0
1677829973711873901,537912,1,1005,0,72,0
1677829973713031214,537915,2,3033,0,71,0
1677829973714158902,537917,3,471,0,71,0
1677829973715211675,537919,4,2723,0,71,0
1677829973716334197,537921,5,1448,0,71,1
1677829973717430219,537922,6,595,0,71,0
1677829973718558907,537924,7,1020,0,71,0
1677829973719675137,537926,8,3325,0,70,0
1677829973720765909,537928,9,2298,0,70,0
1677829973721893139,537930,10,4068,0,70,0
1677829973722976745,537932,11,411,0,71,0
1677829973724111725,537934,12,2425,0,70,0
1677829973725218330,537936,13,4007,0,70,0
1677829973726329727,537938,14,1079,0,70,0
1677829973727420499,537940,15,3907,0,71,0
1677829973728576937,537942,16,1663,0,71,0
1677829973737251032,537954,1,1005,0,72,0
1677829973738278305,537957,2,3033,0,71,0
1677829973739424785,537959,3,471,0,71,0
1677829973740509474,537961,4,2723,0,71,0
1677829973741618496,537963,5,1448,0,71,0
1677829973742733601,537965,6,595,0,71,0
1677829973743828081,537967,7,1020,0,71,0
1677829973744935853,537969,8,3325,0,70,0
1677829973746048292,537971,9,2298,0,70,0
1677829973747150647,537972,10,4068,0,70,0
1677829973748297377,537974,11,411,0,71,1
1677829973752624758,537977,12,2425,0,70,1
1677829973753725196,537979,13,4007,0,70,0
1677829973754836552,537981,14,1079,0,71,0
1677829973755950198,537983,15,3907,0,71,0
1677829973757096011,537985,16,1663,0,71,1
1677829973762476665,537997,1,1005,0,72,0
1677829973763609895,538000,2,3033,0,71,0
1677829973769082173,538002,3,471,0,71,0
1677829973770173945,538004,4,2723,0,71,0
1677829973771369798,538006,5,1448,0,71,0
1677829973776777202,538008,6,595,0,71,0
1677829973777857224,538010,7,1020,0,71,0
1677829973779000079,538012,8,3325,0,70,0
1677829973784417524,538014,9,2298,0,70,0
1677829973785517963,538017,10,4068,0,70,0
1677829973786636318,538019,11,411,0,71,0
1677829973787774756,538021,12,2425,0,70,0
1677829973793169326,538023,13,4007,0,70,0
1677829973794263598,538025,14,1079,0,71,0
1677829973795380287,538027,15,3907,0,71,0
1677829973796508225,538029,16,1663,0,71,0
1677829973804145672,538041,1,1004,0,72,0
1677829973809614658,538044,2,3033,0,71,0
1677829973810725305,538047,3,471,0,71,0
1677829973815136768,538048,4,2723,0,71,1
1677829973816237540,538051,5,1448,0,71,0
1677829973817370853,538053,6,595,0,71,0
1677829973822819548,538055,7,1020,0,71,0
1677829973823943028,538057,8,3325,0,70,0
1677829973825056633,538059,9,2298,0,70,0
1677829973830457078,538061,10,4068,0,70,0
1677829973831531559,538064,11,411,0,71,0
1677829973832684663,538066,12,2425,0,70,0
1677829973833833851,538068,13,4007,0,70,1
1677829973838273022,538069,14,1079,0,71,0
1677829973839541791,538072,15,3907,0,71,0
1677829973840650563,538074,16,1663,0,71,0
1677829973848245386,538086,1,1004,0,72,0
1677829973852611308,538089,2,3033,0,71,0
1677829973856975897,538092,3,471,0,71,0
1677829973858140501,538094,4,2723,0,71,1
1677829973862429383,538096,5,1448,0,72,0
1677829973863533821,538099,6,595,0,71,0
1677829973864700009,538101,7,1020,0,71,0
1677829973869031223,538103,8,3325,0,70,0
1677829973870120329,538105,9,2298,0,70,0
1677829973871265934,538107,10,4068,0,70,0
1677829973875621356,538109,11,411,0,71,0
1677829973876737628,538111,12,2425,0,70,0
1677829973877892565,538113,13,4007,0,70,0
1677829973882271696,538115,14,1079,0,71,0
1677829973883346593,538117,15,3907,0,71,0
1677829973884487781,538119,16,1663,0,70,0
1677829973895247548,538132,1,1005,0,72,0
1677829973900678201,538135,2,3033,0,71,0
1677829973901818180,538138,3,471,0,71,0
1677829973906158395,538140,4,2723,0,71,0
1677829973907250042,538142,5,1447,0,71,0
1677829973908377647,538144,6,595,0,71,0
1677829973913778634,538146,7,1020,0,71,0
1677829973914887281,538148,8,3325,0,70,0
1677829973916019969,538150,9,2298,0,70,0
1677829973920355100,538152,10,4068,0,70,0
1677829973921446664,538155,11,411,0,71,0
1677829973922574519,538157,12,2425,0,70,0
1677829973933317994,538159,13,4007,0,70,0
1677829973934456557,538161,14,1079,0,71,0
1677829973935603703,538163,15,3907,0,71,0
1677829973939923417,538165,16,1663,0,71,0
1677829973945327988,538179,1,1005,0,72,0
1677829973946497592,538182,2,3033,0,71,0
1677829973950757724,538184,3,471,0,71,0
1677829973951905704,538186,4,2723,0,71,0
1677829973953029725,538188,5,1448,0,71,0
1677829973957378814,538190,6,595,0,71,0
1677829973958479128,538193,7,1020,0,71,0
1677829973959614316,538194,8,3325,0,70,0
1677829973965006553,538196,9,2298,0,70,0
1677829973966104659,538199,10,4068,0,70,0
1677829973967229847,538201,11,411,0,71,0
1677829973973717940,538203,12,2424,0,70,0
1677829973974803920,538206,13,4007,0,70,0
1677829973975920275,538208,14,1079,0,70,0
1677829973977118629,538210,15,3907,0,71,0
1677829973981497051,538211,16,1663,0,71,0
1677829973986872039,538224,1,1005,0,72,0
1677829973992297192,538227,2,3033,0,71,0
1677829973993488796,538230,3,471,0,71,0
1677829973997778469,538232,4,2723,0,71,0
1677829973998861491,538234,5,1448,0,72,0
1677829973999985846,538236,6,595,0,71,0
1677829974005396375,538238,7,1020,0,71,0
1677829974006590061,538240,8,3325,0,70,0
1677829974007703958,538242,9,2298,0,70,1
1677829974012008838,538244,10,4068,0,70,0
1677829974013130985,538246,11,411,0,71,0
1677829974014271506,538248,12,2424,0,70,0
1677829974019706283,538250,13,4007,0,70,0
1677829974020792055,538253,14,1079,0,70,0
1677829974021942242,538255,15,3907,0,71,0
1677829974026271581,538257,16,1663,0,70,0
1677829974033842736,538271,1,1005,0,72,1
1677829974040321160,538274,2,3033,0,71,0
1677829974041471848,538277,3,471,0,70,0
1677829974070342159,538278,4,2723,0,71,0
1677829974071449556,538281,5,1447,0,71,0
1677829974072582577,538283,6,595,0,71,0
1677829974073672474,538285,7,1020,0,71,0
1677829974074805787,538287,8,3325,0,70,0
1677829974076002224,538289,9,2298,0,70,0
1677829974094193770,538291,10,4068,0,70,0
1677829974095257918,538293,11,411,0,71,0
1677829974096385231,538295,12,2425,0,70,1
1677829974097477294,538297,13,4007,0,70,0
1677829974098585982,538299,14,1079,0,71,0
1677829974099723170,538301,15,3907,0,71,0
1677829974100829984,538303,16,1663,0,71,0
1677829974101931172,538315,1,1005,0,72,0
1677829974103025569,538318,2,3033,0,71,1
